max_growth,k_val,num_open,MDF
0.441094581396957,0.857,1,5.25
0.4441131845360887,0.847,1,5.25
0.4471317876729636,0.837,1,5.25
0.450150390810867,0.827,1,5.25
0.4531689939488667,0.817,1,5.25
0.4561875970874953,0.8069999999999999,1,5.25
0.4592062002249619,0.7969999999999999,1,5.25
0.46222480336264604,0.7869999999999999,1,5.25
0.4652434029339402,0.7769999999999999,1,5.25
0.46783460182872666,0.7669999999999999,1,5.25
0.47085044972593837,0.7569999999999999,1,5.25
0.4738662976231086,0.7469999999999999,1,5.25
0.4768821418678227,0.7369999999999999,1,5.25
0.4798979897420432,0.7269999999999999,1,5.25
0.48291383761610124,0.7169999999999999,1,5.25
0.4859296892121467,0.7069999999999999,1,5.25
0.4888391223620572,0.6969999999999998,1,5.25
0.49051757371791105,0.6869999999999998,1,5.25
0.49352457445534437,0.6769999999999998,1,5.25
0.4965315714466407,0.6669999999999998,1,5.25
0.49953856843785466,0.6569999999999998,1,5.25
0.5024092517979727,0.6469999999999998,1,5.25
0.5051847576871022,0.6369999999999998,1,5.25
0.5081895669974156,0.6269999999999998,1,5.25
0.5110558175701211,0.6169999999999998,1,5.25
0.5139663562623408,0.6069999999999998,1,5.25
0.5165003096834327,0.5969999999999998,1,5.25
0.5183511247174108,0.5869999999999997,1,5.25
0.5207236914484731,0.5769999999999997,1,5.25
0.5236194171628588,0.5669999999999997,1,5.25
0.5266093856462658,0.5569999999999997,1,5.25
0.5294565235724189,0.5469999999999997,1,5.25
0.5322704542963042,0.5369999999999997,1,5.25
0.5352586326457712,0.5269999999999997,1,5.25
0.538246806910528,0.5169999999999997,1,5.25
0.5412349893447503,0.5069999999999997,1,5.25
0.5442231676943516,0.49699999999999966,1,5.25
0.5472113460440207,0.48699999999999966,1,5.25
0.5497023807716345,0.47699999999999965,1,5.25
0.5516398729380569,0.46699999999999964,1,5.25
0.5546196903072436,0.45699999999999963,1,5.25
0.5575995034565064,0.4469999999999996,1,5.25
0.5605793208032123,0.4369999999999996,1,5.25
0.5634575074528319,0.4269999999999996,1,5.25
0.5659784449782966,0.4169999999999996,1,5.25
0.5689030953444439,0.4069999999999996,1,5.25
0.571389348850218,0.3969999999999996,1,5.25
0.574363392668751,0.38699999999999957,1,5.25
0.5773359691147943,0.37699999999999956,1,5.25
0.5803114803063811,0.36699999999999955,1,5.25
0.5832855241250586,0.35699999999999954,1,5.25
0.5852594975047453,0.34699999999999953,1,5.25
0.585258010271056,0.3369999999999995,1,5.25
0.5852580102710568,0.3269999999999995,1,5.25
0.5852580058513441,0.3169999999999995,1,5.25
0.5852580102710224,0.3069999999999995,1,5.25
0.5852580058512878,0.2969999999999995,1,5.25
0.5852580058513488,0.2869999999999995,1,5.25
0.5851324226533492,0.27699999999999947,1,5.25
0.5851324182354646,0.26699999999999946,1,5.25
0.5838492460318003,0.25699999999999945,1,5.25
0.5834723673891342,0.24699999999999944,1,5.25
0.5833676893401631,0.23699999999999943,1,5.25
0.5828448619844555,0.22699999999999942,1,5.25
0.5815716922940641,0.21699999999999942,1,5.25
0.5788877036927137,0.2069999999999994,1,5.25
0.5783097022443645,0.1969999999999994,1,5.25
0.5781104904233402,0.1869999999999994,1,5.25
0.5768969594230606,0.17699999999999938,1,5.25
0.5488946439566206,0.16699999999999937,1,5.25
0.5488946398015608,0.15699999999999936,1,5.25
0.5445627158645746,0.14699999999999935,1,5.25
0.5445627158646968,0.13699999999999934,1,5.25
0.5445627117743489,0.12699999999999934,1,5.25
0.5217789946036641,0.11699999999999934,1,5.25
0.5206075411546751,0.10699999999999935,1,5.25
0.44356349609429335,0.09699999999999935,1,5.25
0.4421604590548039,0.08699999999999936,1,5.25
6.797419295762612e-10,0.07699999999999936,1,5.25
5.475476936240485e-12,0.06699999999999937,1,5.25
4.12413141873182e-12,0.056999999999999364,1,5.25
1.0909921570137327e-11,0.04699999999999936,1,5.25
4.1761647362178856e-12,0.03699999999999936,1,5.25
0.0,0.026999999999999358,1,5.25
0.0,0.016999999999999356,1,5.25
