NaCl,PGL,PGL_unc,GND,GND_unc,EDD,EDD_unc
0,1.067583732,0.151448151,1.009350299,0.035611378,1.105989006,0.097994158
20,0.934964053,0.100153254,1.038548576,0.099526659,1.110705873,0.060907483
40,0.892240095,0.024079135,0.981109485,0.037527113,1.100937082,0.032421108
60,0.81462067,0.03534555,0.932616531,0.053981743,1.072073841,0.097909072
80,0.808594854,0.037907479,0.882480766,0.047343724,0.995320306,0.094553291
100,0.875741258,0.077195801,0.901733061,0.027055258,0.992901291,0.101775054
120,0.879151044,0.034069667,0.912884334,0.010091475,0.999054094,0.085891464
140,0.849465955,0.04686285,0.8972624,0.024566265,1.04164216,0.074844286
160,0.87186386,0.067446677,0.910716534,0.025925442,1.020404389,0.07537277
180,0.820686481,0.064929669,0.919768131,0.026491303,1.056333605,0.03813723
