mets,osm,mu,abun,rel_abun
glu__L,58,0.468369002,643.35,0.130473456
glu__L,157,0.526593687,641.747,0.130148363
glu__L,257,0.629753059,746.913,0.151476367
glu__L,857,0.372405496,4930.888,1
cit,58,0.468369002,133.885,0.405041961
cit,157,0.526593687,330.546,1
cit,257,0.629753059,247.059,0.747426984
cit,857,0.372405496,56.664,0.17142546
pyruvate,58,0.468369002,20.079,0.336732127
pyruvate,157,0.526593687,22.519,0.377651814
pyruvate,257,0.629753059,1.352,0.022673531
pyruvate,857,0.372405496,59.629,1
acetyl-coa,58,0.468369002,569.948,0.815707669
acetyl-coa,157,0.526593687,698.716,1
acetyl-coa,257,0.629753059,423.522,0.606143269
acetyl-coa,857,0.372405496,62.135,0.088927404
g6p,58,0.468369002,303.599,0.965737825
g6p,157,0.526593687,210.439,0.669399116
g6p,257,0.629753059,224.306,0.713509559
g6p,857,0.372405496,314.37,1
