NaCl,mu,mu_norm
57,0.4449,0.634483742
57,0.4496,0.641186537
57,0.4438,0.632915003
57,0.4738,0.675698802
57,0.4734,0.675128351
57,0.4407,0.62849401
97,0.488,0.6959498
97,0.49,0.698802054
97,0.4994,0.712207644
97,0.5307,0.756845408
97,0.5185,0.739446663
97,0.5244,0.74786081
157,0.5954,0.849115801
157,0.5977,0.852395893
157,0.5928,0.845407872
157,0.6403,0.913148888
157,0.5767,0.822447233
157,0.5688,0.811180833
257,0.6489,0.925413577
257,0.6355,0.90630348
257,0.6718,0.958071877
257,0.6374,0.90901312
257,0.6128,0.873930405
257,0.6016,0.857957787
357,0.6574,0.937535653
357,0.6468,0.922418711
357,0.6712,0.957216201
357,0.6665,0.950513406
357,0.6328,0.902452938
357,0.6147,0.876640046
457,0.7012,1
457,0.6712,0.957216201
457,0.6306,0.899315459
457,0.6137,0.875213919
457,0.6075,0.866371934
457,0.5823,0.830433542
557,0.6544,0.933257273
557,0.6158,0.878208785
557,0.6248,0.891043925
557,0.5877,0.838134626
557,0.5674,0.809184256
557,0.6003,0.856103822
657,0.5997,0.855248146
657,0.5714,0.814888762
657,0.577,0.822875071
657,0.551,0.785795779
657,0.6063,0.864660582
657,0.6051,0.86294923
757,0.5569,0.794209926
757,0.6096,0.8693668
757,0.5354,0.763548203
757,0.5218,0.744152881
757,0.5274,0.75213919
857,0.5185,0.739446663
857,0.4929,0.702937821
857,0.5059,0.721477467
