max_growth,k_val,mets,min,max,mean
0.636,0.002553585,x_accoa_c,1.00E-06,2.72E-05,1.41E-05
0.636,0.002553585,x_ala__L_c,1.00E-06,2.72E-05,1.41E-05
0.754,0.002773352,x_accoa_c,1.00E-06,3.01E-05,1.55E-05
0.754,0.002773352,x_ala__L_c,1.00E-06,3.01E-05,1.55E-05
0.872,0.003360587,x_accoa_c,1.00E-06,5.08E-06,3.04E-06
0.872,0.003360587,x_ala__L_c,1.00E-06,3.61E-05,1.85E-05
0.902,0.019962608,x_accoa_c,0.000710693,0.001566156,1.14E-03
0.902,0.019962608,x_ala__L_c,1.00E-06,0.000201124,1.01E-04
0.444,0.002553525,x_accoa_c,1.00E-06,2.72E-05,1.41E-05
0.444,0.002553525,x_ala__L_c,1.00E-06,2.72E-05,1.41E-05
